ID	cell_name	defination	description
CL:0000305	obsolete IgE B cell	Obsolete (Was Not Defined Before Being Made Obsolete).	obsolete IgE B cell Obsolete (Was Not Defined Before Being Made Obsolete).
CL:0000306	crystallin accumulating cell		crystallin accumulating cell
CL:0000307	tracheal epithelial cell	An Epithelial Cell Found In The Trachea.	tracheal epithelial cell An Epithelial Cell Found In The Trachea.
CL:0000308	metal ion accumulating cell		metal ion accumulating cell
CL:0000309	copper accumulating cell		copper accumulating cell
CL:0000310	iron accumulating cell		iron accumulating cell
CL:0000311	keratin accumulating cell		keratin accumulating cell
CL:0000312	keratinocyte	An Epidermal Cell Which Synthesizes Keratin And Undergoes A Characteristic Change As It Moves Upward From The Basal Layers Of The Epidermis To The Cornified (Horny) Layer Of The Skin. Successive Stages Of Differentiation Of The Keratinocytes Forming The Epidermal Layers Are Basal Cell, Spinous Or Prickle Cell, And The Granular Cell.	keratinocyte An Epidermal Cell Which Synthesizes Keratin And Undergoes A Characteristic Change As It Moves Upward From The Basal Layers Of The Epidermis To The Cornified (Horny) Layer Of The Skin. Successive Stages Of Differentiation Of The Keratinocytes Forming The Epidermal Layers Are Basal Cell, Spinous Or Prickle Cell, And The Granular Cell.
CL:0000313	serous secreting cell	Columnar Glandular Cell With Irregular Nucleus, Copious Granular Endoplasmic Reticulum And Supranuclear Granules. Secretes A Watery Fluid Containing Proteins Known As Serous Fluid.	serous secreting cell Columnar Glandular Cell With Irregular Nucleus, Copious Granular Endoplasmic Reticulum And Supranuclear Granules. Secretes A Watery Fluid Containing Proteins Known As Serous Fluid.
CL:0000314	milk secreting cell		milk secreting cell
CL:0000315	tears secreting cell	A Cell Secreting Tears, The Fluid Secreted By The Lacrimal Glands. This Fluid Moistens The Conjunctiva And Cornea.	tears secreting cell A Cell Secreting Tears, The Fluid Secreted By The Lacrimal Glands. This Fluid Moistens The Conjunctiva And Cornea.
CL:0000316	obsolete ray initial	Obsolete. Use Po:0000082 From Plant Ontology Instead. A Meristemic Ray Cell In The Vascular Cambium That Gives Rise To Ray Cells Of The Secondary Xylem And Secondary Phloem.	obsolete ray initial Obsolete. Use Po:0000082 From Plant Ontology Instead. A Meristemic Ray Cell In The Vascular Cambium That Gives Rise To Ray Cells Of The Secondary Xylem And Secondary Phloem.
CL:0000317	sebum secreting cell	A Cell Secreting Sebun, An Oily Substance Secreted By Sebaceous Glands, Composed Of Keratin, Fat, And Cellular Debris.	sebum secreting cell A Cell Secreting Sebun, An Oily Substance Secreted By Sebaceous Glands, Composed Of Keratin, Fat, And Cellular Debris.
CL:0000318	sweat secreting cell	A Cell Secreting Sweat, The Fluid Excreted By The Sweat Glands Of Mammals. It Consists Of Water Containing Sodium Chloride, Phosphate, Urea, Ammonia, And Other Waste Products.	sweat secreting cell A Cell Secreting Sweat, The Fluid Excreted By The Sweat Glands Of Mammals. It Consists Of Water Containing Sodium Chloride, Phosphate, Urea, Ammonia, And Other Waste Products.
CL:0000319	mucus secreting cell		mucus secreting cell
CL:0000320	obsolete megasporocyte	Obsolete. Use Po:0000431 From Plant Ontology Instead. A Diploid (2N) Cell That Undergoes Meiosis And Produces Four Haploid (1N) Megaspores; Also Called Megaspore Mother Cell.	obsolete megasporocyte Obsolete. Use Po:0000431 From Plant Ontology Instead. A Diploid (2N) Cell That Undergoes Meiosis And Produces Four Haploid (1N) Megaspores; Also Called Megaspore Mother Cell.
CL:0000321	seminal fluid secreting cell		seminal fluid secreting cell
CL:0000322	pneumocyte	An Epithelial Cell That Lines The Peripheral Gas Exchange Region Of The Lungs Of Air-Breathing Vertebrates.	pneumocyte An Epithelial Cell That Lines The Peripheral Gas Exchange Region Of The Lungs Of Air-Breathing Vertebrates.
CL:0000323	lysozyme secreting cell		lysozyme secreting cell
CL:0000324	metanephric mesenchyme stem cell		metanephric mesenchyme stem cell
CL:0000325	stuff accumulating cell	A Cell That Is Specialised To Accumulate A Particular Substance(S).	stuff accumulating cell A Cell That Is Specialised To Accumulate A Particular Substance(S).
CL:0000326	glycogen accumulating cell		glycogen accumulating cell
CL:0000327	extracellular matrix secreting cell		extracellular matrix secreting cell
CL:0000328	myelin accumulating cell		myelin accumulating cell
CL:0000329	oxygen accumulating cell		oxygen accumulating cell
CL:0000330	obsolete collenchymal cell	Obsolete. Use Po:0000075 From Plant Ontology Instead. An Elongated Living Cell With Unevenly Thickened Nonlignified Primary Walls.	obsolete collenchymal cell Obsolete. Use Po:0000075 From Plant Ontology Instead. An Elongated Living Cell With Unevenly Thickened Nonlignified Primary Walls.
CL:0000331	obsolete tracheid	Obsolete. Use Po:0000301 From Plant Ontology Instead. A Tracheary Element Of The Xylem That Has No Perforations, As Contrasted With A Vessel Member. May Occur In Primary And In Secondary Xylem. May Have Any Kind Of Secondary Wall Thickening Found In Tracheary Elements.	obsolete tracheid Obsolete. Use Po:0000301 From Plant Ontology Instead. A Tracheary Element Of The Xylem That Has No Perforations, As Contrasted With A Vessel Member. May Occur In Primary And In Secondary Xylem. May Have Any Kind Of Secondary Wall Thickening Found In Tracheary Elements.
CL:0000332	obsolete atrichoblast	Obsolete, Use Term From Plant Ontology. A Cell Formed After Asymmetric Division Of Root Epidermal Cell That Does Not Give Rise To A Root Hair.	obsolete atrichoblast Obsolete, Use Term From Plant Ontology. A Cell Formed After Asymmetric Division Of Root Epidermal Cell That Does Not Give Rise To A Root Hair.
CL:0000333	migratory neural crest cell	A Cell Derived From The Specialized Ectoderm Flanking Each Side Of The Embryonic Neural Plate, Which After The Closure Of The Neural Tube, Forms Masses Of Cells That Migrate Out From The Dorsal Aspect Of The Neural Tube To Spread Throughout The Body.	migratory neural crest cell A Cell Derived From The Specialized Ectoderm Flanking Each Side Of The Embryonic Neural Plate, Which After The Closure Of The Neural Tube, Forms Masses Of Cells That Migrate Out From The Dorsal Aspect Of The Neural Tube To Spread Throughout The Body.
CL:0000334	vegetative cell (sensu Fungi)		vegetative cell (sensu Fungi)
CL:0000335	mesenchyme condensation cell	A Mesenchymal Cell In Embryonic Development Found In A Contracting Mass And That Gives Rise To Osteoprogenitors.	mesenchyme condensation cell A Mesenchymal Cell In Embryonic Development Found In A Contracting Mass And That Gives Rise To Osteoprogenitors.
CL:0000336	adrenal medulla chromaffin cell	A Cell Found Within The Adrenal Medulla That Secrete Biogenic Amine Hormones Upon Stimulation.	adrenal medulla chromaffin cell A Cell Found Within The Adrenal Medulla That Secrete Biogenic Amine Hormones Upon Stimulation.
CL:0000337	neuroblast (sensu Vertebrata)	An Embryonic Cell That Develops Into A Nerve Cell Or Neuron.	neuroblast (sensu Vertebrata) An Embryonic Cell That Develops Into A Nerve Cell Or Neuron.
CL:0000338	neuroblast (sensu Nematoda and Protostomia)		neuroblast (sensu Nematoda and Protostomia)
CL:0000339	glioblast (sensu Vertebrata)	An Early Neural Cell Developing From The Early Ependymal Cell Of The Neural Tube.	glioblast (sensu Vertebrata) An Early Neural Cell Developing From The Early Ependymal Cell Of The Neural Tube.
CL:0000340	glioblast (sensu Nematoda and Protostomia)		glioblast (sensu Nematoda and Protostomia)
CL:0000341	pigment cell (sensu Nematoda and Protostomia)		pigment cell (sensu Nematoda and Protostomia)
CL:0000342	pigment cell (sensu Vertebrata)	Any Animal Cell Containing Pigment Granules.	pigment cell (sensu Vertebrata) Any Animal Cell Containing Pigment Granules.
CL:0000343	visual pigment cell (sensu Vertebrata)	A Pigment Cell That Is Capable Of Detecting Light Stimulus That Is Involved In Visual Perception.	visual pigment cell (sensu Vertebrata) A Pigment Cell That Is Capable Of Detecting Light Stimulus That Is Involved In Visual Perception.
CL:0000344	obsolete non-visual cell (sensu Vertebrata)		obsolete non-visual cell (sensu Vertebrata)
CL:0000345	dental papilla cell	A Mesenchymal Cell That Is Part Of A Small Mass Of Condensed Mesenchyme In The Enamel Organ; It Differentiates Into The Dentin And Dental Pulp.	dental papilla cell A Mesenchymal Cell That Is Part Of A Small Mass Of Condensed Mesenchyme In The Enamel Organ; It Differentiates Into The Dentin And Dental Pulp.
CL:0000346	hair follicle dermal papilla cell	A Specialized Mesenchymal Cell That Resides In The Dermal Papilla Located At The Bottom Of Hair Follicles. This Cell Plays A Pivotal Roles In Hair Formation, Growth, And Cycling.	hair follicle dermal papilla cell A Specialized Mesenchymal Cell That Resides In The Dermal Papilla Located At The Bottom Of Hair Follicles. This Cell Plays A Pivotal Roles In Hair Formation, Growth, And Cycling.
CL:0000347	scleral cell	A Cell Of The Sclera Of The Eye.	scleral cell A Cell Of The Sclera Of The Eye.
CL:0000348	choroidal cell of the eye	A Cell Of The Choroid Of The Eye.	choroidal cell of the eye A Cell Of The Choroid Of The Eye.
CL:0000349	extraembryonic cell		extraembryonic cell
CL:0000350	amnioserosal cell		amnioserosal cell
CL:0000351	trophoblast cell	A Cell Lining The Outside Of The Blastocyst. After Binding To The Endometrium, Trophoblast Cells Develop Into Two Distinct Layers, An Inner Layer Of Mononuclear Cytotrophoblast Cells And An Outer Layer Of Continuous Multinuclear Cytoplasm, The Syncytiotrophoblast Cells, Which Form The Early Fetal-Maternal Interface.	trophoblast cell A Cell Lining The Outside Of The Blastocyst. After Binding To The Endometrium, Trophoblast Cells Develop Into Two Distinct Layers, An Inner Layer Of Mononuclear Cytotrophoblast Cells And An Outer Layer Of Continuous Multinuclear Cytoplasm, The Syncytiotrophoblast Cells, Which Form The Early Fetal-Maternal Interface.
CL:0000352	epiblast cell	A Cell Of The Outer Layer Of A Blastula That Gives Rise To The Ectoderm After Gastrulation.	epiblast cell A Cell Of The Outer Layer Of A Blastula That Gives Rise To The Ectoderm After Gastrulation.
CL:0000353	blastoderm cell	An Undifferentiated Cell Produced By Early Cleavages Of The Fertilized Egg (Zygote).	blastoderm cell An Undifferentiated Cell Produced By Early Cleavages Of The Fertilized Egg (Zygote).
CL:0000354	blastemal cell		blastemal cell
CL:0000355	multi-potent skeletal muscle stem cell	A Multifate Stem Cell Found In Skeletal Muscle Than Can Differentiate Into Many Different Cell Types, Including Muscle. Distinct Cell Type From Satellite Cell.	multi-potent skeletal muscle stem cell A Multifate Stem Cell Found In Skeletal Muscle Than Can Differentiate Into Many Different Cell Types, Including Muscle. Distinct Cell Type From Satellite Cell.
CL:0000356	hair matrix stem cell		hair matrix stem cell
CL:0000357	stratified epithelial stem cell		stratified epithelial stem cell
CL:0000358	sphincter associated smooth muscle cell	A Smooth Muscle Cell That Is Part Of A Sphincter. A Sphincter Is A Typically Circular Muscle That Normally Maintains Constriction Of A Natural Body Passage Or Orifice And Which Relaxes As Required By Normal Physiological Functioning.	sphincter associated smooth muscle cell A Smooth Muscle Cell That Is Part Of A Sphincter. A Sphincter Is A Typically Circular Muscle That Normally Maintains Constriction Of A Natural Body Passage Or Orifice And Which Relaxes As Required By Normal Physiological Functioning.
CL:0000359	vascular associated smooth muscle cell	A Smooth Muscle Cell Assocatiated With The Vasculature.	vascular associated smooth muscle cell A Smooth Muscle Cell Assocatiated With The Vasculature.
CL:0000360	morula cell	A Cell Of The Early Embryo At The Developmental Stage In Which The Blastomeres, Resulting From Repeated Mitotic Divisions Of The Fertilized Ovum (Zygote), Form A Compact Cell Mass.	morula cell A Cell Of The Early Embryo At The Developmental Stage In Which The Blastomeres, Resulting From Repeated Mitotic Divisions Of The Fertilized Ovum (Zygote), Form A Compact Cell Mass.
CL:0000361	gastrula cell	A Cell Of The Embryo In The Early Stage Following The Blastula, Characterized By Morphogenetic Cell Movements, Cell Differentiation, And The Formation Of The Three Germ Layers.	gastrula cell A Cell Of The Embryo In The Early Stage Following The Blastula, Characterized By Morphogenetic Cell Movements, Cell Differentiation, And The Formation Of The Three Germ Layers.
CL:0000362	epidermal cell	An Epithelial Cell Of The Integument (The Outer Layer Of An Organism).	epidermal cell An Epithelial Cell Of The Integument (The Outer Layer Of An Organism).
CL:0000363	obsolete axial cell	Obsolete. Use Po:0000081 From Plant Ontology Instead. Obsolete, Use Term From The Plant Ontology. A Secondary Vascular Cell That Develops From The Fusiform Cambial Initials And Oriented With Their Longest Diameter Parallel With The Main Axis Of Stem Or Root. These Cells Make Up The Axial System, Also Known As Vertical Or Longitudinal System.	obsolete axial cell Obsolete. Use Po:0000081 From Plant Ontology Instead. Obsolete, Use Term From The Plant Ontology. A Secondary Vascular Cell That Develops From The Fusiform Cambial Initials And Oriented With Their Longest Diameter Parallel With The Main Axis Of Stem Or Root. These Cells Make Up The Axial System, Also Known As Vertical Or Longitudinal System.
CL:0000364	obsolete ray cell	Obsolete. Consult Plant Ontology. A Cell That Develops From The Ray Initial And Composes All Rays (Panels Of Tissue Variable In Height And Width, Formed By The Ray Initials In The Vascular Cambium And Extending Radially In The Secondary Xylem And Secondary Phloem) In The Secondary Vascular Tissues.	obsolete ray cell Obsolete. Consult Plant Ontology. A Cell That Develops From The Ray Initial And Composes All Rays (Panels Of Tissue Variable In Height And Width, Formed By The Ray Initials In The Vascular Cambium And Extending Radially In The Secondary Xylem And Secondary Phloem) In The Secondary Vascular Tissues.
CL:0000365	animal zygote	Diploid Cell Produced By The Fusion Of Sperm Cell Nucleus And Egg Cell.	animal zygote Diploid Cell Produced By The Fusion Of Sperm Cell Nucleus And Egg Cell.
CL:0000366	obsolete sperm cell (sensu Viridiplantae)	Obsolete. Use Po:0000084 From Plant Ontology Instead. Male Gamete, Part Of Male Germ Unit.	obsolete sperm cell (sensu Viridiplantae) Obsolete. Use Po:0000084 From Plant Ontology Instead. Male Gamete, Part Of Male Germ Unit.
CL:0000367	sheath cell (sensu Nematoda)		sheath cell (sensu Nematoda)
CL:0000368	obsolete myrosin cell	Obsolete. Use Po:0000352 From Plant Ontology Instead. Cell Containing Glucosinolates ('Mustard Oil Glucosides') And Myrosinases, Enzymes Hydrolyzing The Glucosinolates. Occurs In Eleven Dicotyledon Families, The Two Largest Of Which Are The Brassicaceae And Euphorbiaceae.	obsolete myrosin cell Obsolete. Use Po:0000352 From Plant Ontology Instead. Cell Containing Glucosinolates ('Mustard Oil Glucosides') And Myrosinases, Enzymes Hydrolyzing The Glucosinolates. Occurs In Eleven Dicotyledon Families, The Two Largest Of Which Are The Brassicaceae And Euphorbiaceae.
CL:0000370	obsolete transfer cell	Obsolete. Use Po:0000078 From Plant Ontology Instead. Parenchyma Cell With The Wall Ingrowth (Or Invaginations) That Increase The Surface Of The Plasmalemma. Appears To Be Specialized For Short-Distance Transfer Of Solutes.	obsolete transfer cell Obsolete. Use Po:0000078 From Plant Ontology Instead. Parenchyma Cell With The Wall Ingrowth (Or Invaginations) That Increase The Surface Of The Plasmalemma. Appears To Be Specialized For Short-Distance Transfer Of Solutes.
CL:0000371	protoplast	The Cell Protoplasm After Removal Of The Cell Wall.	protoplast The Cell Protoplasm After Removal Of The Cell Wall.
CL:0000372	tormogen cell	An Epidermal Cell That Is Part Of A Cell Cluster Organ Of The Insect Integument (Such As A Sensillum) And That Secretes A Cuticular Specialization That Forms A Socket Around The Base Of A Cuticular Specialization Produced By A Trichogen Cell.	tormogen cell An Epidermal Cell That Is Part Of A Cell Cluster Organ Of The Insect Integument (Such As A Sensillum) And That Secretes A Cuticular Specialization That Forms A Socket Around The Base Of A Cuticular Specialization Produced By A Trichogen Cell.
CL:0000373	histoblast		histoblast
CL:0000374	trichogen cell	An Epidermal Cell That Is Part Of A Cell Cluster Organ Of The Insect Integument (Such As A Sensillum) And That Secretes A Cuticular Specialization, Often In The Form Of A Hair, Bristle, Peg Or Scale. The Base Of This Specialization Is Often Surrounded By A Socket Produced By A Closely Associated Tormogen Cell.	trichogen cell An Epidermal Cell That Is Part Of A Cell Cluster Organ Of The Insect Integument (Such As A Sensillum) And That Secretes A Cuticular Specialization, Often In The Form Of A Hair, Bristle, Peg Or Scale. The Base Of This Specialization Is Often Surrounded By A Socket Produced By A Closely Associated Tormogen Cell.
CL:0000375	obsolete osteoprogenitor cell		obsolete osteoprogenitor cell
CL:0000376	humidity receptor cell		humidity receptor cell
CL:0000377	tracheoblast		tracheoblast
CL:0000378	support cell (sensu Nematoda and Protostomia)		support cell (sensu Nematoda and Protostomia)
CL:0000379	sensory processing neuron		sensory processing neuron
CL:0000380	thecogen cell	The Support Cell That Makes The Thecogen Dendritic Cap - A Cuticle-Like Matrix Around The Tip Of The Eo-Dendrite And Which Encloses The Soma Of The Eo-Neuron.	thecogen cell The Support Cell That Makes The Thecogen Dendritic Cap - A Cuticle-Like Matrix Around The Tip Of The Eo-Dendrite And Which Encloses The Soma Of The Eo-Neuron.
CL:0000381	neurosecretory neuron		neurosecretory neuron
CL:0000382	scolopale cell		scolopale cell
CL:0000383	nephrogenic mesenchyme stem cell		nephrogenic mesenchyme stem cell
CL:0000384	ligament cell		ligament cell
CL:0000385	prohemocyte (sensu Nematoda and Protostomia)		prohemocyte (sensu Nematoda and Protostomia)
CL:0000386	attachment cell		attachment cell
CL:0000387	hemocyte (sensu Nematoda and Protostomia)		hemocyte (sensu Nematoda and Protostomia)
CL:0000388	tendon cell	An Elongated Fibrocyte That Is Part Of A Tendon. The Cytoplasm Is Stretched Between The Collagen Fibres Of The Tendon. They Have A Central Cell Nucleus With A Prominent Nucleolus. Tendon Cells Have A Well-Developed Rough Endoplasmic Reticulum And They Are Responsible For Synthesis And Turnover Of Tendon Fibres And Ground Substance.	tendon cell An Elongated Fibrocyte That Is Part Of A Tendon. The Cytoplasm Is Stretched Between The Collagen Fibres Of The Tendon. They Have A Central Cell Nucleus With A Prominent Nucleolus. Tendon Cells Have A Well-Developed Rough Endoplasmic Reticulum And They Are Responsible For Synthesis And Turnover Of Tendon Fibres And Ground Substance.
CL:0000389	socket cell (sensu Nematoda)		socket cell (sensu Nematoda)
CL:0000390	blood cell (sensu Nematoda and Protostomia)		blood cell (sensu Nematoda and Protostomia)
CL:0000391	podocyte (sensu Diptera)	An Insect Immune Cell That Develops From Plasmatocyte.	podocyte (sensu Diptera) An Insect Immune Cell That Develops From Plasmatocyte.
CL:0000392	crystal cell		crystal cell
CL:0000393	electrically responsive cell	A Cell Whose Function Is Determined By Its Response To An Electric Signal.	electrically responsive cell A Cell Whose Function Is Determined By Its Response To An Electric Signal.
CL:0000394	plasmatocyte		plasmatocyte
CL:0000395	procrystal cell		procrystal cell
CL:0000396	lamellocyte		lamellocyte
CL:0000397	ganglion interneuron		ganglion interneuron
CL:0000398	polygonal cell		polygonal cell
CL:0000399	obsolete phloem element	Obsolete. Consult Plant Ontology Instead. Obsoleted, Not Defined Prior To Obsoletion.	obsolete phloem element Obsolete. Consult Plant Ontology Instead. Obsoleted, Not Defined Prior To Obsoletion.
CL:0000400	obsolete pavement cell	Obsolete. Use Po:0000332 From Plant Ontology Instead. An Epidermal Cell With A Characteristic Convoluted Anticlinal Cell Wall That Gives A Jigsaw Like Appearance To The Lamina.	obsolete pavement cell Obsolete. Use Po:0000332 From Plant Ontology Instead. An Epidermal Cell With A Characteristic Convoluted Anticlinal Cell Wall That Gives A Jigsaw Like Appearance To The Lamina.
CL:0000401	macrophage (sensu Diptera)		macrophage (sensu Diptera)
CL:0000402	CNS interneuron		CNS interneuron
CL:0000404	electrically signaling cell	A Cell That Initiates An Electrical Signal And Passes That Signal To Another Cell.	electrically signaling cell A Cell That Initiates An Electrical Signal And Passes That Signal To Another Cell.
CL:0000405	neuroepidermoblast		neuroepidermoblast
CL:0000406	CNS short range interneuron		CNS short range interneuron
CL:0000407	scolopidial ligament cell		scolopidial ligament cell
CL:0000408	male gamete		male gamete
CL:0000409	scolopidial sheath cell		scolopidial sheath cell
CL:0000410	CNS long range interneuron		CNS long range interneuron
CL:0000411	flatworm hypodermal cell	An Epithelial Cell Of The Hypodermis Of Flatworms.	flatworm hypodermal cell An Epithelial Cell Of The Hypodermis Of Flatworms.
CL:0000412	polyploid cell	A Cell Whose Nucleus, Or Nuclei, Each Contain More Than Two Haploid Genomes.	polyploid cell A Cell Whose Nucleus, Or Nuclei, Each Contain More Than Two Haploid Genomes.
CL:0000413	haploid cell	A Cell Whose Nucleus Contains A Single Haploid Genome.	haploid cell A Cell Whose Nucleus Contains A Single Haploid Genome.
CL:0000414	obsolete cell by ploidy	Obsolete: A Classification Of Cells By The Number Of Haploid Genome Equivalents Of Their Nucleus Or Nuclei.	obsolete cell by ploidy Obsolete: A Classification Of Cells By The Number Of Haploid Genome Equivalents Of Their Nucleus Or Nuclei.
CL:0000415	diploid cell	A Cell Whose Nucleus Has Two Haploid Genomes.	diploid cell A Cell Whose Nucleus Has Two Haploid Genomes.
CL:0000416	polytene cell		polytene cell
CL:0000417	endopolyploid cell		endopolyploid cell
CL:0000418	arcade cell	An Epithelial Cell Found In C. Elegans That Firmly Hold The Outer Body Wall And The Lips To The Inner Cylinder Of The Pharynx In A Manner That Keeps These Organs From Breaking Apart, While Still Giving Each Organ Freedom Of Movement During Feeding.	arcade cell An Epithelial Cell Found In C. Elegans That Firmly Hold The Outer Body Wall And The Lips To The Inner Cylinder Of The Pharynx In A Manner That Keeps These Organs From Breaking Apart, While Still Giving Each Organ Freedom Of Movement During Feeding.
CL:0000419	seam cell	An Epithelial Fate Stem Cell Found In Flatworms.	seam cell An Epithelial Fate Stem Cell Found In Flatworms.
CL:0000420	syncytial epithelial cell		syncytial epithelial cell
CL:0000421	coelomocyte	A Free Floating Cell, Including Amebocytes And Eleocytes, In The Coelom Of Certain Animals, Especially Annelids.	coelomocyte A Free Floating Cell, Including Amebocytes And Eleocytes, In The Coelom Of Certain Animals, Especially Annelids.
CL:0000422	mitogenic signaling cell	A Cell Whose Primary Function Is To Cause Growth By Stimulating Cell Division In Its Immediate Cellular Environment.	mitogenic signaling cell A Cell Whose Primary Function Is To Cause Growth By Stimulating Cell Division In Its Immediate Cellular Environment.
CL:0000423	tip cell		tip cell
CL:0000424	excretory cell	A Cell Involved In The Elimination Of Metabolic And Foreign Toxins, And In Maintaining The Ionic, Acid-Base And Water Balance Of Biological Fluids.	excretory cell A Cell Involved In The Elimination Of Metabolic And Foreign Toxins, And In Maintaining The Ionic, Acid-Base And Water Balance Of Biological Fluids.
CL:0000425	pore cell	Forms The Terminal Part Of The Cuticle-Lined Excretory Duct Of C. Elegans.	pore cell Forms The Terminal Part Of The Cuticle-Lined Excretory Duct Of C. Elegans.
CL:0000426	scaffold cell		scaffold cell
CL:0000427	GLR cell	A Scaffolding Cell Type Found In C. Elegans, This Cell Plays A Supportive Role To The Muscle Arms. May Also Have An Endocrine Role.	GLR cell A Scaffolding Cell Type Found In C. Elegans, This Cell Plays A Supportive Role To The Muscle Arms. May Also Have An Endocrine Role.
CL:0000428	yolk cell		yolk cell
CL:0000429	imaginal disc cell		imaginal disc cell
CL:0000430	xanthophore cell	A Pigment Cell Derived From The Neural Crest. Contains Cartenoid Pigments In Structures Called Pterinosomes Or Xanthosomes. This Gives An Appearance Ranging From A Golden Yellow To Orange And Red.	xanthophore cell A Pigment Cell Derived From The Neural Crest. Contains Cartenoid Pigments In Structures Called Pterinosomes Or Xanthosomes. This Gives An Appearance Ranging From A Golden Yellow To Orange And Red.
CL:0000431	iridophore	A Pigment Cell Derived From The Neural Crest. The Cell Contains Flat Light-Reflecting Platelets, Probably Of Guanine, In Stacks Called Reflecting Platets Or Iridisomes. The Color-Generating Components Produce A Silver, Gold, Or Iridescent Color.	iridophore A Pigment Cell Derived From The Neural Crest. The Cell Contains Flat Light-Reflecting Platelets, Probably Of Guanine, In Stacks Called Reflecting Platets Or Iridisomes. The Color-Generating Components Produce A Silver, Gold, Or Iridescent Color.
CL:0000432	reticular cell	Large, Stellate Fibroblast Found Along The Network Of Collagen Fibers Of The Reticulum Of The Spleen; Synthesize The Matrix Components Of The Reticulum.	reticular cell Large, Stellate Fibroblast Found Along The Network Of Collagen Fibers Of The Reticulum Of The Spleen; Synthesize The Matrix Components Of The Reticulum.
CL:0000433	obsolete functional megaspore	Obsolete. Use Po:0000244 From Plant Ontology Instead. In Monosporic And Bisporic Megasporogenesis: The Megaspore(S) That Will Undergo Megagametogenesis.	obsolete functional megaspore Obsolete. Use Po:0000244 From Plant Ontology Instead. In Monosporic And Bisporic Megasporogenesis: The Megaspore(S) That Will Undergo Megagametogenesis.
CL:0000434	eccrine cell	A Secretory Cell That Discharges Its Product Without Loss Of Cytoplasm.	eccrine cell A Secretory Cell That Discharges Its Product Without Loss Of Cytoplasm.
CL:0000435	alkali secreting cell		alkali secreting cell
CL:0000436	vaginal lubricant secreting cell		vaginal lubricant secreting cell
CL:0000437	gonadtroph	A Rounded Cell That Is Usually Situated Next To Sinusoids; Secretes Follicular Stimulating Hormone (Fsh) And Luteinizing Hormone (Lh).	gonadtroph A Rounded Cell That Is Usually Situated Next To Sinusoids; Secretes Follicular Stimulating Hormone (Fsh) And Luteinizing Hormone (Lh).
CL:0000438	luteinizing hormone secreting cell	A Peptide Hormone Secreting Cell Pituitary That Produces Luteinizing Hormone.	luteinizing hormone secreting cell A Peptide Hormone Secreting Cell Pituitary That Produces Luteinizing Hormone.
CL:0000439	prolactin secreting cell	A Peptide Hormone Cell That Secretes Prolactin.	prolactin secreting cell A Peptide Hormone Cell That Secretes Prolactin.
CL:0000440	melanocyte stimulating hormone secreting cell	A Cell Of The Intermediate Pituitary That Produces Melanocyte Stimulating Hormone.	melanocyte stimulating hormone secreting cell A Cell Of The Intermediate Pituitary That Produces Melanocyte Stimulating Hormone.
CL:0000441	follicle stem cell		follicle stem cell
CL:0000442	follicular dendritic cell	A Cell With Extensive Dendritic Processes Found In The B Cell Areas (Primary Follicles And Germinal Centers) Of Lymphoid Tissue. They Are Unrelated To The Dendritic Cell Associated With T Cells. Follicular Dendritic Cells Have Fc Receptors And C3B Receptors, But Unlike Other Dendritic Cells, They Do Not Process Or Present Antigen In A Way That Allows Recognition By T Cells. Instead, They Hold Antigen In The Form Of Immune Complexes On Their Surfaces For Long Periods And Can Present Antigen To B Cells During An Immune Response.	follicular dendritic cell A Cell With Extensive Dendritic Processes Found In The B Cell Areas (Primary Follicles And Germinal Centers) Of Lymphoid Tissue. They Are Unrelated To The Dendritic Cell Associated With T Cells. Follicular Dendritic Cells Have Fc Receptors And C3B Receptors, But Unlike Other Dendritic Cells, They Do Not Process Or Present Antigen In A Way That Allows Recognition By T Cells. Instead, They Hold Antigen In The Form Of Immune Complexes On Their Surfaces For Long Periods And Can Present Antigen To B Cells During An Immune Response.
CL:0000443	calcitonin secreting cell		calcitonin secreting cell
CL:0000444	obliquely striated muscle cell	A Muscle Cell In Which The Fibers Are Organised Into Sarcomeres But In Which Adjacent Myofibrils Are Offset From Each Other, Producing An Oblique Banding Pattern.	obliquely striated muscle cell A Muscle Cell In Which The Fibers Are Organised Into Sarcomeres But In Which Adjacent Myofibrils Are Offset From Each Other, Producing An Oblique Banding Pattern.
CL:0000445	apoptosis fated cell		apoptosis fated cell
CL:0000446	chief cell of parathyroid gland	An Epithelial Cell Of The Parathyroid Gland That Is Arranged In Wide, Irregular Interconnecting Columns; Responsible For The Synthesis And Secretion Of Parathyroid Hormone.	chief cell of parathyroid gland An Epithelial Cell Of The Parathyroid Gland That Is Arranged In Wide, Irregular Interconnecting Columns; Responsible For The Synthesis And Secretion Of Parathyroid Hormone.
CL:0000447	carbohydrate secreting cell		carbohydrate secreting cell
CL:0000448	white fat cell	Fat Cells With Light Coloration And Few Mitochondria. They Contain A Scant Ring Of Cytoplasm Surrounding A Single Large Lipid Droplet Or Vacuole.	white fat cell Fat Cells With Light Coloration And Few Mitochondria. They Contain A Scant Ring Of Cytoplasm Surrounding A Single Large Lipid Droplet Or Vacuole.
